"procedure","block","trial","PMdemand","context","stim","role","word_type","correct_key","response","correct","reaction_time","pressedQ","pressedQ_blank","pressedQ_fix"
"LDTpractice",1,1,NA,"lower","lumbigo","","nw","h","h",1,1.39444910560269,NA,NA,NA
"LDTpractice",2,1,NA,"lower","latador","","nw","h","h",1,0.663960619596764,NA,NA,NA
"LDTpractice",3,1,NA,"lower","turative","","nw","h","g",0,0.380048989667557,NA,NA,NA
"LDTpractice",4,1,NA,"lower","summary","","w","g","g",1,0.476129450951703,NA,NA,NA
"LDTpractice",5,1,NA,"lower","busted","","w","g","g",1,0.616003096220084,NA,NA,NA
"LDTpractice",6,1,NA,"lower","alolition","","nw","h","h",1,0.501262492034584,NA,NA,NA
"LDTpractice",7,1,NA,"lower","umpire","","w","g","g",1,0.407306459615938,NA,NA,NA
"LDTpractice",8,1,NA,"lower","trotch","","nw","h","g",0,0.580708232708275,NA,NA,NA
"LDTpractice",9,1,NA,"lower","overshoot","","w","g","g",1,0.484638034133241,NA,NA,NA
"LDTpractice",10,1,NA,"lower","curlecs","","nw","h","h",1,0.639344046125188,NA,NA,NA
"LDTpractice",11,1,NA,"lower","grimace","","w","g","g",1,0.618945844005793,NA,NA,NA
"LDTpractice",12,1,NA,"lower","lurshing","","nw","h","h",1,0.76808239845559,NA,NA,NA
"LDTpractice",13,1,NA,"lower","hiring","","w","g","g",1,0.455818483838812,NA,NA,NA
"LDTpractice",14,1,NA,"lower","slumber","","w","g","g",1,0.395891350810416,NA,NA,NA
"LDTpractice",1,2,NA,"upper","julled","","nw","h","h",1,0.593762695789337,NA,NA,NA
"LDTpractice",2,2,NA,"upper","treeps","","nw","h","g",0,0.456753015401773,NA,NA,NA
"LDTpractice",3,2,NA,"upper","crinklo","","nw","h","h",1,0.628877353970893,NA,NA,NA
"LDTpractice",4,2,NA,"upper","infinity","","w","g","g",1,0.418068060535006,NA,NA,NA
"LDTpractice",5,2,NA,"upper","tricycle","","w","g","g",1,0.439565906766802,NA,NA,NA
"LDTpractice",6,2,NA,"upper","hasking","","nw","h","h",1,0.516324567724951,NA,NA,NA
"LDTpractice",7,2,NA,"upper","sponsor","","w","g","g",1,0.429438797291368,NA,NA,NA
"LDTpractice",8,2,NA,"upper","grocus","","nw","h","h",1,0.48271192132961,NA,NA,NA
"LDTpractice",9,2,NA,"upper","unscrew","","w","g","h",0,0.469806271023117,NA,NA,NA
"LDTpractice",10,2,NA,"upper","raestro","","nw","h","h",1,0.585433412343264,NA,NA,NA
"LDTpractice",11,2,NA,"upper","picture","","w","g","g",1,0.399008568609133,NA,NA,NA
"LDTpractice",12,2,NA,"upper","grutch","","nw","h","h",1,0.389976877369918,NA,NA,NA
"LDTpractice",13,2,NA,"upper","revival","","w","g","g",1,0.389674724196084,NA,NA,NA
"LDTpractice",14,2,NA,"upper","reputable","","w","g","g",1,0.339410151587799,NA,NA,NA
"experimental",1,1,"ld","upper","located","w","w","g","g",1,0.788131660665385,NA,NA,NA
"experimental",1,2,"ld","upper","encrusted","w","w","g","g",1,0.691429385566153,NA,NA,NA
"experimental",1,3,"ld","upper","trooper","w","w","g","g",1,0.551036556251347,NA,NA,NA
"experimental",1,4,"ld","upper","doxing","nw","nw","h","h",1,0.575667015044019,NA,NA,NA
"experimental",1,5,"ld","upper","unbridled","w","w","g","g",1,0.487541843322106,NA,NA,NA
"experimental",1,6,"ld","upper","amaze","w","w","g","g",1,1.08764266164508,NA,NA,NA
"experimental",1,7,"ld","upper","ausht","nw","nw","h","h",1,0.598259675665759,NA,NA,NA
"experimental",1,8,"ld","upper","fivalve","nw","nw","h","h",1,0.94053334009368,NA,NA,NA
"experimental",1,9,"ld","upper","brimitive","nw","nw","h","h",1,0.829948020284064,NA,NA,NA
