prac_word,prac_wordType,prac_corrKey,,,
alolition,nw,h,,,
julled,nw,h,,,
lumbigo,nw,h,,,
lurshing,nw,h,,,
raestro,nw,h,,,
hasking,nw,h,,,
latador,nw,h,,,
treeps,nw,h,,,
crinklo,nw,h,,,
grocus,nw,h,,,
trotch,nw,h,,,
grutch,nw,h,,,
turative,nw,h,,,
curlecs,nw,h,,,
umpire,w,g,,,
tricycle,w,g,,,
slumber,w,g,,,
grimace,w,g,,,
unscrew,w,g,,,
summary,w,g,,,
sponsor,w,g,,,
overshoot,w,g,,,
reputable,w,g,,,
infinity,w,g,,,
revival,w,g,,,
picture,w,g,,,
busted,w,g,,,
hiring,w,g,,,
