Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,
miteous,7,1,"11,329","1,888.17","1,689",772.032,181.966,-0.032,31,0.912,0.348007472
ucility,7,1,"8,487","1,414.50","1,090",811.242,327.742,0.03,33,1,0.451181706
offonents,9,0,"15,914","1,989.25","1,664",815.548,325,-0.191,31,0.939,0.418001087
otoist,6,1,"8,945","1,789.00","1,032",689.235,189.868,0.238,34,1,0.741487359
ragtam,6,1,"6,744","1,348.80",858,900.267,341.918,-0.586,30,0.968,0.78778978
slooch,6,2,"4,991",998.2,"1,041",887.655,368.815,-0.208,29,0.853,0.145124709
befin,5,2,"9,000","2,250.00","1,294",736.419,270.632,0.191,31,0.969,0.819594513
chining,7,3,"21,830","3,638.33","3,333",866.045,258.496,-0.561,22,0.667,0.427251379
splum,5,0,"2,817",704.25,610,811.429,244.235,0.006,28,0.903,0.771736127
roodies,7,2,"11,223","1,870.50","1,962",794.172,234.139,-0.046,29,0.906,0.022074448
mamps,5,4,"3,809",952.25,"1,379",874,304.04,-0.193,34,1,0.330632613
endgume,7,1,"8,464","1,410.67","1,156",757.333,163.559,0.082,27,0.871,0.07676639
urique,6,1,"5,204","1,040.80",783,817.312,172.968,0.038,32,0.969,0.752937453
fabstand,8,1,"12,345","1,763.57","1,621",810.033,333.51,0.042,30,0.909,0.775131135
olgies,6,2,"7,670","1,534.00","1,035",829.042,292.693,-0.214,24,0.706,0.411790557
lovud,5,1,"2,382",595.5,445,693.906,219.828,0.283,32,1,0.742228907
brimitive,9,1,"15,435","1,929.38","2,486",771.273,233.532,-0.076,33,0.971,0.535103977
pranny,6,2,"8,459","1,691.80","2,288",738,172.109,0.044,31,0.886,0.606215949
migmarole,9,1,"13,752","1,719.00","1,713",833.793,292.368,-0.168,29,0.935,0.139440125
brudent,7,1,"11,031","1,838.50","1,962",748.154,158.276,-0.07,26,0.812,0.424830918
mineluyer,9,1,"19,214","2,401.75","2,050","1,038.09",381.321,-0.666,34,0.971,0.841332192
atabaster,9,1,"23,415","2,926.88","1,892",876.032,293.28,-0.363,31,0.969,0.218647424
hostade,7,1,"11,133","1,855.50","1,995",942.633,325.555,-0.276,30,0.882,0.8819992
crimb,5,4,"4,986","1,246.50","1,157",870.407,196.178,-0.516,27,0.771,0.139488682
gaioty,6,1,"5,648","1,129.60",736,711.552,179.321,0.26,29,0.935,0.893075048
traze,5,4,"5,406","1,351.50","1,376",818.852,208.539,-0.097,27,0.818,0.14397172
unburnid,8,1,"6,626",946.571,"1,597","1,072.26",400.79,-0.778,27,0.931,0.978521645
geissue,7,1,"7,114","1,185.67",707,811.594,390.247,0.03,32,0.97,0.905235036
clooped,7,0,"9,873","1,645.50","1,905",815.097,367.152,-0.018,31,0.912,0.276146787
cripet,6,1,"7,213","1,442.60","1,723",791.844,224.701,-0.204,32,0.969,0.901182581
borrent,7,1,"15,472","2,578.67","2,830",752.062,234.193,0.263,32,0.941,0.173782293
pived,5,5,"8,080","2,020.00","1,016",703.316,179.115,0.186,19,0.576,0.21387524
togglo,6,1,"4,016",803.2,707,720.152,228.353,0.237,33,0.943,0.840213054
mosary,6,1,"6,144","1,228.80","1,137",804.13,252.393,-0.132,23,0.676,0.395812375
welayed,7,2,"9,327","1,554.50","1,637",728.8,241.992,0.096,30,0.909,0.48179647
pypecast,8,1,"9,984","1,426.29","1,199",941.879,498.216,-0.446,33,1,0.791393412
ireology,8,1,"9,016","1,288.00","1,276",856.968,224.372,-0.331,31,0.938,0.454816945
surdens,7,1,"11,115","1,852.50","2,318",838.581,265.36,-0.169,31,0.939,0.794004251
sonkers,7,2,"14,203","2,367.17","3,456",679.355,179.746,0.209,31,0.969,0.311576107
gigoho,6,1,"2,998",599.6,530,664.176,239.365,0.251,34,0.971,0.193685606
misest,6,1,"14,216","2,843.20","2,522",876.6,290.108,-0.54,30,0.882,0.500278914
ipiocy,6,1,"4,695",939,252,749.029,263.586,0.275,34,1,0.2107552
prame,5,3,"7,140","1,785.00","2,153",650.143,135.863,0.372,28,0.875,0.842034529
arcients,8,1,"13,476","1,925.14","1,690",948.923,384.722,-0.313,26,0.839,0.364755082
cayward,7,1,"6,520","1,086.67","1,227",749.714,218.373,0.007,28,0.903,0.803163658
profats,7,1,"9,302","1,550.33","2,267",823.4,313.18,-0.03,30,0.906,0.575975869
ciping,6,4,"13,147","2,629.40","1,161",807.258,313.569,-0.06,31,0.969,0.4778547
etcess,6,1,"9,285","1,857.00",870,712.355,288.491,0.197,31,0.939,0.129776976
hecture,7,2,"10,825","1,804.17","1,634",780.667,233.538,-0.2,30,0.882,0.716500524
chesume,7,0,"10,986","1,831.00","1,415",851.875,305.968,-0.219,32,0.941,0.891433455
runabouk,8,1,"7,416","1,059.43",905,873.176,274.418,-0.367,34,1,0.27940326
eightiech,9,1,"10,788","1,348.50","1,430",948.156,316.068,-0.476,32,0.97,0.375582211
nogwhell,8,0,"6,651",950.143,"1,021",856.485,345.718,-0.079,33,0.971,0.645045636
defensa,7,1,"10,027","1,671.17","2,046",709.121,210.762,0.273,33,1,0.605504342
funtair,7,1,"8,888","1,481.33","1,313",718.333,251.553,0.189,33,1,0.448904634
outlaved,8,2,"11,825","1,689.29","1,819",999.714,364.612,-0.6,28,0.848,0.358984983
misobeyed,9,1,"11,033","1,379.13","2,171","1,172.27",413.095,-1.298,11,0.355,0.122050013
etber,5,2,"8,435","2,108.75","1,491",669.812,173.822,0.258,32,1,0.908722959
ofsters,7,1,"15,827","2,637.83","3,116",754.879,241.125,-0.014,33,0.971,0.320428869
egect,5,3,"4,086","1,021.50",425,853.219,301.569,-0.283,32,0.941,0.741065058
ilcurring,9,1,"17,805","2,225.63","2,272",863.03,482.177,0.013,33,0.943,0.805591302
chrayed,7,0,"9,967","1,661.17","1,858",697.219,204.093,0.268,32,0.97,0.229406938
grested,7,2,"22,224","3,704.00","3,141",728.645,224.743,0.281,31,0.969,0.480162535
apticle,7,1,"12,300","2,050.00","1,366",776.29,247.65,-0.084,31,0.886,0.401805724
trake,5,5,"6,027","1,506.75","1,692",801.815,294.144,-0.254,27,0.794,0.468920185
lanthers,8,1,"19,223","2,746.14","3,191",942.5,333.649,-0.314,28,0.848,0.769744508
mebase,6,1,"6,240","1,248.00",854,777.594,297.561,-0.042,32,0.97,0.839173702
arpired,7,1,"13,890","2,315.00","1,645",897.556,335.384,-0.376,27,0.871,0.717323099
riosk,5,1,"6,453","1,613.25",434,631.514,168.662,0.507,35,1,0.351253289
impirt,6,2,"4,412",882.4,965,781.724,319.608,0.049,29,0.829,0.720176543
cogantly,8,1,"12,058","1,722.57","2,838",828.32,278.958,-0.214,25,0.862,0.315089805
prillway,8,0,"8,380","1,197.14","1,986",808.406,295.47,-0.166,32,0.97,0.626423174
ganter,6,4,"17,672","3,534.40","3,336",821.217,392.416,-0.164,23,0.719,0.242264872
susher,6,1,"11,534","2,306.80","2,547",771.931,229.691,0.084,29,0.853,0.102843614
chraps,6,0,"6,056","1,211.20","1,151",776.433,316.731,-0.001,30,0.853,0.883776758
talate,6,1,"15,536","3,107.20","1,888",774.9,263.05,-0.06,30,0.938,0.69293329
oleandur,8,1,"13,487","1,926.71","1,332",748.269,197.291,-0.064,26,0.812,0.80236185
acroad,6,1,"5,874","1,174.80",693,796.613,289.138,-0.005,31,0.912,0.116344495
coster,6,5,"17,440","3,488.00","4,719",850.714,367.296,-0.554,14,0.438,0.246557922
nimono,6,1,"8,773","1,754.60",829,853,428.746,-0.315,31,0.969,0.259737328
hinsome,7,1,"13,577","2,262.83","1,482",746.581,262.581,-0.042,31,0.939,0.015542111
ements,6,1,"10,592","2,118.40",840,800.2,271.666,0.176,30,0.938,0.083833515
gettle,6,5,"7,073","1,414.60","1,677",880.607,427.476,-0.13,28,0.848,0.205906937
trises,6,3,"13,841","2,768.20","2,374",751.344,265.596,0.099,32,0.97,0.337155667
gounts,6,2,"7,916","1,583.20","1,414",733.133,178.272,0.08,30,0.938,0.93100949
