Word,Length,Freq_HAL,Log_Freq_HAL,NSyll,
suspect,7,"27,087",10.207,2,0.262974233
expected,8,"34,828",10.458,3,0.993084408
strenuous,9,421,6.043,2,0.460835765
revising,8,589,6.378,3,0.439783476
vinegar,7,"1,944",7.573,3,0.678450955
colored,7,"4,997",8.517,2,0.933741711
guitar,6,"24,781",10.118,2,0.046384702
undue,5,"1,087",6.991,2,0.738620874
regional,8,"15,782",9.667,3,0.755946473
expounded,9,238,5.472,3,0.948380401
sonnet,6,375,5.927,2,0.673474104
reason,6,"133,687",11.803,2,0.216445706
deficit,7,"8,131",9.003,3,0.223728954
axis,4,"4,865",8.49,2,0.033250331
column,6,"15,765",9.666,2,0.592196676
brother,7,"23,702",10.073,2,0.211533451
classify,8,"1,700",7.438,3,0.766487178
warmer,6,"1,790",7.49,2,0.357727639
incorrect,9,"11,960",9.389,3,0.748988891
kickoff,7,255,5.541,2,0.304897073
located,7,"36,875",10.515,3,0.761814525
organize,8,"5,155",8.548,3,0.127849409
cabinet,7,"6,439",8.77,3,0.822530446
divider,7,375,5.927,3,0.772879745
jiggling,8,181,5.198,3,0.185376852
forbid,6,"2,766",7.925,2,0.964471964
rewrite,7,"3,314",8.106,2,0.542909594
audience,8,"20,905",9.948,2,0.180591591
satisfies,9,789,6.671,3,0.403207693
reborn,6,844,6.738,2,0.123804384
tycoon,6,694,6.542,2,0.791667527
educate,7,"4,500",8.412,3,0.600805039
surfaced,8,892,6.793,2,0.336297416
retreat,7,"3,082",8.033,2,0.074324783
comply,6,"3,028",8.016,2,0.112929905
duplex,6,"1,370",7.223,2,0.441742376
asthmatic,9,147,4.99,3,0.36784402
expired,7,"2,908",7.975,2,0.065308702
rawhide,7,283,5.645,2,0.247681949
fission,7,"1,739",7.461,2,0.49801763
micron,6,"2,427",7.794,2,0.01529231
legalize,8,"1,040",6.947,3,0.469793227
rational,8,"11,109",9.316,2,0.715273066
arranged,8,"7,249",8.889,2,0.44722427
handed,6,"6,912",8.841,2,0.006476653
target,6,"29,601",10.296,2,0.055468135
require,7,"46,963",10.757,2,0.570049263
servant,7,"3,238",8.083,2,0.811542611
entertain,9,"2,531",7.836,3,0.750804599
admire,6,"3,160",8.058,2,0.025005455
cavern,6,721,6.581,2,0.752220794
fallacy,7,"1,946",7.574,3,0.256323157
treason,7,"1,613",7.386,2,0.821287704
harmful,7,"4,590",8.432,2,0.538604103
charcoal,8,853,6.749,2,0.706855035
trembles,8,100,4.605,2,0.935540761
foster,6,"9,586",9.168,2,0.530594705
binder,6,"1,864",7.53,2,0.475376865
entitle,7,385,5.953,3,0.841019873
ensues,6,"1,130",7.03,2,0.135623093
addition,8,"46,938",10.757,3,0.5665435
butcher,7,"1,840",7.518,2,0.477759203
warden,6,688,6.534,2,0.812120605
expensive,9,"36,397",10.502,3,0.082985711
bullet,6,"8,338",9.029,2,0.832481708
alchemist,9,525,6.263,3,0.264619553
glassware,9,257,5.549,2,0.600051246
enabled,7,"7,398",8.909,3,0.262756669
abstain,7,960,6.867,2,0.959404523
delegate,8,"1,540",7.34,3,0.960995246
cervical,8,354,5.869,3,0.108769241
combat,6,"18,625",9.832,2,0.046506132
pressures,9,"2,792",7.935,2,0.829151527
handbook,8,"6,519",8.782,2,0.712312704
undertake,9,"1,294",7.165,3,0.751462567
hatred,6,"6,503",8.78,2,0.140376111
tablet,6,"7,519",8.925,2,0.189207632
curricula,9,536,6.284,4,0.896121026
glamorous,9,372,5.919,3,0.529643893
acting,6,"16,012",9.681,2,0.44509905
oppose,6,"6,419",8.767,2,0.845490571
acidic,6,809,6.696,3,0.533811165
overflow,8,"1,980",7.591,3,0.463269731
fillings,8,480,6.174,2,0.871536097
noblest,7,79,4.369,3,0.861941976
protest,7,"9,197",9.127,2,0.683644446
sunshine,8,"2,607",7.866,2,0.363647888
culinary,8,451,6.111,4,0.095846651
telecast,8,663,6.497,3,0.981782252
retain,6,"5,505",8.613,2,0.455017411
accessory,9,"1,342",7.202,4,0.98152155
superstar,9,"1,146",7.044,3,0.245252285
splatter,8,375,5.927,2,0.416779587
unbridled,9,330,5.799,3,0.041973365
remover,7,494,6.203,3,0.677601354
whirlpool,9,435,6.075,2,0.419307081
female,6,"43,053",10.67,2,0.220854072
reprint,7,"2,890",7.969,2,0.211851934
mandate,7,"3,952",8.282,2,0.866327363
sweeping,8,"2,636",7.877,2,0.71295396
outset,6,724,6.585,2,0.65091754
consonant,9,371,5.916,3,0.451818497
potter,6,"1,888",7.543,2,0.079962555
despise,7,"1,416",7.256,2,0.993204865
carnival,8,"1,920",7.56,3,0.153588448
stable,6,"15,640",9.658,2,0.446767739
owner,5,"27,130",10.208,2,0.203761025
implode,7,215,5.371,2,0.189913845
staircase,9,876,6.775,2,0.483351536
purport,7,537,6.286,2,0.387697888
alarm,5,"5,599",8.63,2,0.097102742
phonology,9,127,4.844,4,0.20674233
rodeo,5,"1,012",6.92,3,0.227308258
dialogues,9,565,6.337,2,0.385133593
punctual,8,70,4.248,2,0.572006891
observer,8,"4,816",8.48,3,0.006265051
bypassed,8,634,6.452,2,0.204529237
latter,6,"17,819",9.788,2,0.40309421
buttress,8,104,4.644,2,0.144946374
describe,8,"22,980",10.042,2,0.198732248
eyesight,8,577,6.358,2,0.858588
heaviest,8,525,6.263,3,0.697142922
machinery,9,"3,002",8.007,4,0.388936428
orange,6,"13,483",9.509,2,0.928572298
preserve,8,"6,306",8.749,2,0.900255095
infancy,7,805,6.691,3,0.805165826
bookend,7,29,3.367,2,0.817364307
shockwave,9,977,6.884,2,0.893191548
forfeit,7,728,6.59,2,0.74814403
walnut,6,"3,420",8.137,2,0.862888291
saturate,8,274,5.613,3,0.951388416
roughly,7,"10,597",9.268,2,0.793818848
decency,7,"5,697",8.648,3,0.08541021
fictional,9,"2,442",7.801,3,0.391269449
cutout,6,686,6.531,2,0.804481901
index,5,"32,443",10.387,2,0.652106054
gallon,6,"3,694",8.214,2,0.339659352
standard,8,"108,320",11.593,2,0.086422682
contain,7,"25,742",10.156,2,0.114748893
fidelity,8,"2,662",7.887,4,0.22531792
maximized,9,445,6.098,3,0.254311648
remade,6,219,5.389,2,0.62067875
overwork,8,111,4.71,3,0.629765609
intrude,7,356,5.875,2,0.15182718
cobalt,6,429,6.061,2,0.018024944
removable,9,"2,769",7.926,4,0.743103109
swatches,8,90,4.5,2,0.415431942
antonym,7,73,4.29,3,0.963055644
blocking,8,"4,435",8.397,2,0.875090866
outflow,7,223,5.407,2,0.864456895
shamrock,8,498,6.211,2,0.250176638
committed,9,"14,961",9.613,3,0.458562469
casino,6,"4,647",8.444,3,0.542513171
suburb,6,"1,845",7.52,2,0.1245813
usage,5,"15,549",9.652,2,0.94687634
hangar,6,675,6.515,2,0.117597824
obviously,9,"48,613",10.792,3,0.575428359
arrested,8,"8,567",9.056,3,0.387160205
arrive,6,"9,548",9.164,2,0.749356729
explosion,9,"5,867",8.677,3,0.709632616
tragedy,7,"3,635",8.198,3,0.143430527
vivid,5,"1,936",7.568,2,0.800123857
vented,6,542,6.295,2,0.235906693
graveyard,9,"3,792",8.241,2,0.502752648
tracing,7,"2,852",7.956,2,0.839414024
forgery,7,"2,042",7.622,3,0.510110242
rarely,6,"13,743",9.528,2,0.387216807
exploit,7,"2,619",7.871,2,0.364983367
postal,6,"14,716",9.597,2,0.489895397
plunging,8,469,6.151,2,0.257578523
stretches,9,"1,961",7.581,2,0.617202228
ignore,6,"27,790",10.232,2,0.783800996
century,7,"31,984",10.373,3,0.906624724
threaded,8,"1,934",7.567,2,0.614737844
inside,6,"63,772",11.063,2,0.527124514
hubris,6,345,5.844,2,0.663646713
euphoric,8,282,5.642,3,0.704927379
system,6,"439,448",12.993,2,0.395540511
seldom,6,"4,444",8.399,2,0.359894512
encrusted,9,167,5.118,3,0.293237916
outfit,6,"3,715",8.22,2,0.084572364
footstep,8,55,4.007,2,0.039731705
hardest,7,"2,983",8.001,2,0.884378905
intersect,9,500,6.215,3,0.493412416
calcify,7,3,1.099,3,0.260623023
hindsight,9,932,6.837,2,0.154080962
season,6,"37,562",10.534,2,0.305389693
penalize,8,421,6.043,3,0.434655138
demise,6,"2,332",7.754,2,0.498115304
leather,7,"11,445",9.345,2,0.176358326
potent,6,"1,932",7.566,2,0.792020618
affluent,8,648,6.474,2,0.617347306
rocket,6,"11,027",9.308,2,0.174668955
agony,5,"2,245",7.716,3,0.7211057
permute,7,41,3.714,2,0.1418592
mortgage,8,"4,758",8.468,2,0.940786982
dishwater,9,54,3.989,3,0.252824554
diatonic,8,244,5.497,4,0.405773946
icepick,7,82,4.407,2,0.252809317
vibrate,7,543,6.297,2,0.329759467
measure,7,"19,777",9.892,2,0.614785949
preclude,8,"1,284",7.158,2,0.2437008
remain,6,"24,587",10.11,2,0.801716199
ethical,7,"5,840",8.672,3,0.389235319
goblet,6,103,4.635,2,0.624339601
couple,6,"93,448",11.445,2,0.23896722
defeat,6,"7,657",8.943,2,0.164379342
demon,5,"8,977",9.102,2,0.05484792
mitten,6,139,4.934,2,0.032723382
earnest,7,"1,435",7.269,2,0.912452401
purpose,7,"47,091",10.76,2,0.019904146
dabble,6,206,5.328,2,0.625068105
derived,7,"11,303",9.333,2,0.045358627
meteoroid,9,9,2.197,4,0.073201042
distrust,8,"1,099",7.002,2,0.936140291
oldest,6,"4,630",8.44,2,0.593839412
insole,6,91,4.511,2,0.852626548
minimum,7,"87,433",11.379,3,0.491124021
absent,6,"3,019",8.013,2,0.004649392
virulent,8,428,6.059,3,0.80125959
