demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,lateQResp.keys,LDTResp.keys,LDTResp.corr,LDTResp.rt,blankQResp.keys,pressedQ,PM_corr,lateQResp.rt,blankQResp.rt,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,19 ,Male,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,hasking,nw,h,upper,g,0,0.49945187545381486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,revival,w,g,upper,g,1,0.6911323338281363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,grutch,nw,h,upper,h,1,0.7010461667086929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,crinklo,nw,h,upper,h,1,0.5215827815700322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,reputable,w,g,upper,g,1,0.49739693594165146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,umpire,w,g,upper,h,0,0.6306548076681793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,overshoot,w,g,upper,g,1,0.5391058826353401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,julled,nw,h,upper,g,0,0.7463816329836845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,upper,h,1,0.6129476327914745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,alolition,nw,h,upper,g,0,0.5391810352448374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,picture,w,g,upper,g,1,0.4439201750792563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,sponsor,w,g,upper,g,1,0.5926779911387712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,busted,w,g,upper,g,1,0.4784303782507777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,turative,nw,h,upper,h,1,0.6817528447136283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,curlecs,nw,h,lower,h,1,0.5736832926049829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,summary,w,g,lower,g,1,0.556784916901961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,trotch,nw,h,lower,h,1,0.4923074268735945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,raestro,nw,h,lower,g,0,0.5267391668166965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,hiring,w,g,lower,g,1,0.45600283495150506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,unscrew,w,g,lower,h,0,0.6283591820392758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,grimace,w,g,lower,g,1,0.5694515805225819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,treeps,nw,h,lower,h,1,0.5848138006404042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,lurshing,nw,h,lower,h,1,0.6152124693617225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,latador,nw,h,lower,h,1,0.6452714623883367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,,,slumber,w,g,lower,g,1,0.5539645482786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,,,infinity,w,g,lower,g,1,0.4974737437441945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,,,tricycle,w,g,lower,g,1,0.484869651729241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,,,grocus,nw,h,lower,h,1,0.51176164788194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,stelled,nw,h,upper,,,,,animal,"
q",1,nw,HiDemTar,None,h,1,0.741724498802796,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,bingu,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.8390767157543451,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,bother,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.9724302664399147,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,jungle,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.692519840085879,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
