demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,lateQResp.keys,LDTResp.keys,LDTResp.corr,LDTResp.rt,blankQResp.keys,pressedQ,PM_corr,lateQResp.rt,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
20 ",female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,tricycle,w,g,lower,g,1,0.6660256078466773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,grutch,nw,h,lower,g,0,0.8602453581988811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,julled,nw,h,lower,h,1,16.48057750542648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,grimace,w,g,lower,g,1,1.3320739497430623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,infinity,w,g,lower,g,1,0.7312374070752412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,revival,w,g,lower,g,1,0.8294351717922837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,lower,h,1,0.6018023777287453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,lurshing,nw,h,lower,h,1,0.7688652779906988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,slumber,w,g,lower,g,1,0.9366048807278275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,overshoot,w,g,lower,g,1,0.8242900432087481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,curlecs,nw,h,lower,h,1,0.5816790682729334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,turative,nw,h,lower,h,1,0.7010711478069425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,hasking,nw,h,lower,h,1,0.7186432471498847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,picture,w,g,lower,h,0,0.4885175107046962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,umpire,w,g,upper,g,1,0.882796058896929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,alolition,nw,h,upper,h,1,0.9024320363532752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,crinklo,nw,h,upper,h,1,0.6562571139074862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,sponsor,w,g,upper,g,1,0.8684075099881738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,busted,w,g,upper,g,1,0.8947807224467397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,hiring,w,g,upper,g,1,0.7455925177782774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,treeps,nw,h,upper,h,1,0.9783184628468007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,grocus,nw,h,upper,h,1,0.793704983079806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,unscrew,w,g,upper,g,1,0.7679641104768962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,summary,w,g,upper,g,1,0.678865420166403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,,,trotch,nw,h,upper,h,1,0.8182414297480136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,,,latador,nw,h,upper,h,1,0.5837555271573365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,,,raestro,nw,h,upper,h,1,0.646368773188442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,,,reputable,w,g,upper,h,0,0.6189947419334203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,prama,nw,h,lower,,,,,animal,"
q",2,nw,HiDemNoTar,None,h,1,1.1148453005589545,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,publish,w,g,lower,,,,,,,2,w,HiDemNoTar,None,g,1,0.885559483896941,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,dialect,w,g,lower,,,,,,,2,w,HiDemNoTar,None,h,0,0.6490510865114629,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
