demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,PM_accuracy,pressedQ_late,pressedQ,pressedQ_blank,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
20", female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,revival,w,g,upper,g,1,0.3987444993108511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,curlecs,nw,h,upper,h,1,0.6445823945105076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,upper,h,1,0.8255779626779258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,turative,nw,h,upper,g,0,0.5578058152459562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
