demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,lateQResp.keys,LDTResp.keys,LDTResp.corr,LDTResp.rt,blankQResp.keys,pressedQ,blankQResp.rt,PM_corr,lateQResp.rt,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
18", female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,umpire,w,g,lower,g,1,0.6909893385600299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,overshoot,w,g,lower,g,1,0.5304180211387575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,lower,h,1,0.5743937906809151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,slumber,w,g,lower,g,1,0.5975784866604954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
