demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,lateQ,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
20
"," female
",American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,turative,nw,h,upper,h,1,0.8889957328792661,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,unscrew,w,g,upper,g,1,0.7239695633761585,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,lurshing,nw,h,upper,h,1,0.8257372351363301,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,hasking,nw,h,upper,h,1,0.794000058202073,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,slumber,w,g,upper,g,1,0.52831463329494,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,alolition,nw,h,upper,h,1,0.5858506194781512,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,tricycle,w,g,upper,g,1,0.5523167361970991,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,hiring,w,g,upper,g,1,0.6001603740733117,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,grimace,w,g,upper,h,0,0.5748935909941792,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,trotch,nw,h,upper,h,1,0.6461152685806155,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,crinklo,nw,h,upper,h,1,0.5711015374399722,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,grocus,nw,h,upper,h,1,0.5625189291313291,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,busted,w,g,upper,g,1,0.4335937451105565,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,picture,w,g,upper,g,1,0.5029942172113806,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,grutch,nw,h,lower,g,0,0.6905508919153363,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,reputable,w,g,lower,g,1,0.5803545587696135,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,latador,nw,h,lower,h,1,0.6436852291226387,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,julled,nw,h,lower,h,1,0.6392595113720745,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
,,,,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,umpire,w,g,lower,g,1,0.5332114605698735,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2023-11-10_11h22.50.290,leap3,2022.2.5,60.0212422034136,
