demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,PM_accuracy,pressedQ,pressedQ_blank,pressedQ_late,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
18 ",female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,hasking,nw,h,upper,g,0,0.9202228072099388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,reputable,w,g,upper,g,1,0.7132198573090136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,trotch,nw,h,upper,h,1,1.025839145295322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,crinklo,nw,h,upper,h,1,0.8553000306710601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,julled,nw,h,upper,h,1,0.8009340208955109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,overshoot,w,g,upper,g,1,0.7296938039362431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,unscrew,w,g,upper,g,1,0.7770739458501339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,umpire,w,g,upper,h,0,0.8177052661776543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,summary,w,g,upper,g,1,0.5761868162080646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,slumber,w,g,upper,g,1,1.014714265242219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,infinity,w,g,upper,g,1,0.7566818092018366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,alolition,nw,h,upper,h,1,0.5728615685366094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,curlecs,nw,h,upper,h,1,0.9002458299510181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,turative,nw,h,upper,h,1,0.8389790379442275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,raestro,nw,h,lower,h,1,0.7154499315656722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,busted,w,g,lower,g,1,0.7574879601597786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,treeps,nw,h,lower,h,1,0.6616136310622096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,grocus,nw,h,lower,h,1,0.6327683329582214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,lower,h,1,0.7900114236399531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,hiring,w,g,lower,g,1,0.5567988087423146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
,,,,,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,grimace,w,g,lower,g,1,0.9813879616558552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2023-11-13_14h01.56.083,leap3,2022.2.5,59.91825174179848,
