demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,PM_accuracy,pressedQ_blank,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
19", male,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,overshoot,w,g,lower,g,1,0.3937421547689155,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,julled,nw,h,lower,h,1,0.5406835558596867,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,umpire,w,g,lower,g,1,0.39185704702049406,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,sponsor,w,g,lower,h,0,0.4443238929279687,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,alolition,nw,h,lower,h,1,0.6981003159708052,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,curlecs,nw,h,lower,h,1,0.517695438262308,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,reputable,w,g,lower,g,1,0.5040424775270367,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,grocus,nw,h,lower,h,1,0.5371765403388054,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,hiring,w,g,lower,g,1,0.5539786308418115,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,raestro,nw,h,lower,h,1,0.5301558879136792,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,hasking,nw,h,lower,h,1,0.5794544020418471,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,summary,w,g,lower,g,1,0.39461750160444353,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,lower,h,1,0.4337803336629804,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,tricycle,w,g,lower,g,1,0.6694919684587148,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,grimace,w,g,upper,g,1,0.41789033867189573,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,lurshing,nw,h,upper,h,1,0.519279273083157,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,revival,w,g,upper,g,1,0.44881749451997166,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,unscrew,w,g,upper,g,1,0.459845407953253,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,latador,nw,h,upper,h,1,0.4726167315375278,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,grutch,nw,h,upper,h,1,0.7311757795423546,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,infinity,w,g,upper,g,1,0.45203681094790227,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,treeps,nw,h,upper,g,0,0.4649279815657792,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,slumber,w,g,upper,g,1,0.6371355870851403,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,turative,nw,h,upper,h,1,0.5208693982176555,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,,,trotch,nw,h,upper,h,1,0.5623910979784341,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,,,picture,w,g,upper,g,1,0.45052945310089854,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,,,crinklo,nw,h,upper,h,1,0.45456286857370287,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,,,busted,w,g,upper,g,1,0.4026879743087193,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,theles,nw,h,upper,,,,,animal,"
q ",4,nw,LoDemTar,h,1,0.6303983298539606,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,plymie,nw,h,upper,,,,,,,4,nw,LoDemTar,h,1,0.5324948914685592,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,ipiocy,nw,h,upper,,,,,,,4,nw,LoDemTar,h,1,0.43826135462768434,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,jungle,w,g,upper,,,,,,,4,w,LoDemTar,g,1,0.5799695456416885,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,bluads,nw,h,upper,,,,,,,4,nw,LoDemTar,h,1,0.5240721611880872,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,rearrange,w,g,upper,,,,,,,4,w,LoDemTar,g,1,0.7263974584793687,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,analysis,w,g,upper,,,,,,,4,w,LoDemTar,h,0,0.5602331892496295,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,tiery,nw,h,upper,,,,,,,4,nw,LoDemTar,h,1,0.6800123528828408,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,felevance,nw,h,upper,,,,,,,4,nw,LoDemTar,g,0,0.6680442030601625,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,preserve,w,g,upper,,,,,,,4,w,LoDemTar,g,1,0.7601466477735812,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,loached,nw,h,upper,,,,,,,4,nw,LoDemTar,h,1,0.8408424359449782,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,acoustic,w,g,upper,,,,,,,4,w,LoDemTar,g,1,0.7262905231436889,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,hubris,w,g,upper,,,,,,,4,w,LoDemTar,h,0,0.7123786663323699,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,miracle,w,g,upper,,,,,,,4,w,LoDemTar,g,1,0.5551512777756216,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,usage,w,g,upper,,,,,,,4,w,LoDemTar,g,1,0.5878155534619509,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,duries,nw,h,upper,,,,,,,4,nw,LoDemTar,h,1,0.899329443302122,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,nores,nw,h,upper,,,,,,,4,nw,LoDemTar,h,1,0.6216014914316474,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,igiom,nw,h,upper,,,,,,,4,nw,LoDemTar,h,1,0.6197898810351035,,,,,,,,,,,,,,,,,,,335,2023-11-20_12h50.53.048,leap3,2022.2.5,59.99565006660578,
