demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,pressedQ_blank,PM_accuracy,pressedQ_late,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
19"," Male
",American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,revival,w,g,upper,g,1,0.7715234943898395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,reputable,w,g,upper,g,1,0.704680543334689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,grocus,nw,h,upper,h,1,0.6810496718389913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,raestro,nw,h,upper,h,1,0.6706414544023573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,hiring,w,g,upper,g,1,0.48093531985068694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,infinity,w,g,upper,g,1,0.5089290480245836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,tricycle,w,g,upper,h,0,0.5197163420380093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,latador,nw,h,upper,h,1,0.6810443747090176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,trotch,nw,h,upper,h,1,0.6435856510652229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,umpire,w,g,upper,g,1,0.5522629618062638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,upper,g,0,0.5043758253450505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,picture,w,g,upper,g,1,0.538487087818794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2023-11-13_13h45.02.188,leap3,2022.2.5,59.998251998035315,
