demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,PM_accuracy,pressedQ,pressedQ_blank,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
18", Male,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,351,2023-11-14_10h14.28.234,leap3,2022.2.5,60.08469603243979,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,351,2023-11-14_10h14.28.234,leap3,2022.2.5,60.08469603243979,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,y,,,,,,,,,,,,,,,,,,,,,351,2023-11-14_10h14.28.234,leap3,2022.2.5,60.08469603243979,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,351,2023-11-14_10h14.28.234,leap3,2022.2.5,60.08469603243979,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,n,,,,,,,,,,,,,,,,,,,,,351,2023-11-14_10h14.28.234,leap3,2022.2.5,60.08469603243979,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,351,2023-11-14_10h14.28.234,leap3,2022.2.5,60.08469603243979,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,picture,w,g,lower,g,1,0.46848976891487837,,,,,,,,,,,,,351,2023-11-14_10h14.28.234,leap3,2022.2.5,60.08469603243979,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,trotch,nw,h,lower,g,0,0.8792100055143237,,,,,,,,,,,,,351,2023-11-14_10h14.28.234,leap3,2022.2.5,60.08469603243979,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,summary,w,g,lower,g,1,0.4072893597185612,,,,,,,,,,,,,351,2023-11-14_10h14.28.234,leap3,2022.2.5,60.08469603243979,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,hiring,w,g,lower,g,1,0.4241914236918092,,,,,,,,,,,,,351,2023-11-14_10h14.28.234,leap3,2022.2.5,60.08469603243979,
