demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,pressedQ_blank,PM_accuracy,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"19
", FEMALE,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,upper,h,1,0.19494163827039301,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,revival,w,g,upper,h,0,0.24633739166893065,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,slumber,w,g,upper,g,1,0.6691696591442451,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,crinklo,nw,h,upper,h,1,0.6141689921496436,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,grutch,nw,h,upper,g,0,0.7579200220061466,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,umpire,w,g,upper,g,1,0.8141039146576077,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,latador,nw,h,upper,h,1,0.788393511553295,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,grocus,nw,h,upper,h,1,0.7699240257497877,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,unscrew,w,g,upper,g,1,0.6973077873699367,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,busted,w,g,upper,g,1,0.6358096428448334,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,lurshing,nw,h,upper,g,0,0.6964813406812027,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,curlecs,nw,h,upper,h,1,0.9150759102776647,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,sponsor,w,g,upper,g,1,0.6200633867410943,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,picture,w,g,upper,g,1,0.4814394658897072,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,hasking,nw,h,lower,g,0,0.6293387275654823,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,reputable,w,g,lower,g,1,0.6105728318216279,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,hiring,w,g,lower,g,1,0.6554695983650163,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,alolition,nw,h,lower,h,1,0.6114077301463112,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,turative,nw,h,lower,h,1,0.577423200244084,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,infinity,w,g,lower,g,1,0.7354372286936268,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,julled,nw,h,lower,h,1,0.7362875210819766,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,raestro,nw,h,lower,h,1,0.7048940134700388,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,overshoot,w,g,lower,g,1,0.5467296671122313,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,tricycle,w,g,lower,h,0,0.6513551732059568,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,,,trotch,nw,h,lower,h,1,0.8074431399581954,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,,,treeps,nw,h,lower,h,1,0.7253158213570714,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,,,grimace,w,g,lower,h,0,0.7266303485957906,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,,,summary,w,g,lower,g,1,0.5496699220966548,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,hatred,w,g,lower,,,,,ANIMAL,"
Q
",4,w,LoDemTar,g,1,1.188447481021285,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,vaporize,w,g,lower,,,,,,,4,w,LoDemTar,g,1,0.9862550729885697,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,student,w,g,lower,,,,,,,4,w,LoDemTar,g,1,0.755005121929571,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,wienegs,nw,h,lower,,,,,,,4,nw,LoDemTar,h,1,0.6676492748083547,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,brudent,nw,h,lower,,,,,,,4,nw,LoDemTar,g,0,0.8947751416126266,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,infusion,w,g,lower,,,,,,,4,w,LoDemTar,g,1,0.6829131853301078,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,seartfelt,nw,h,lower,,,,,,,4,nw,LoDemTar,h,1,1.3739322625333443,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,gewer,nw,h,lower,,,,,,,4,nw,LoDemTar,h,1,0.8779196115210652,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,buttress,w,g,lower,,,,,,,4,w,LoDemTar,g,1,1.0567255076020956,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,prame,nw,h,lower,,,,,,,4,nw,LoDemTar,h,1,0.8692521831253543,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,bingu,nw,h,lower,,,,,,,4,nw,LoDemTar,h,1,0.6741376969730482,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,airline,w,g,lower,,,,,,,4,w,LoDemTar,g,1,0.9024555428186432,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,dorth,nw,h,lower,,,,,,,4,nw,LoDemTar,h,1,0.7440910743316635,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,volder,nw,h,lower,,,,,,,4,nw,LoDemTar,h,1,0.8653807417722419,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,plunging,w,g,lower,,,,,,,4,w,LoDemTar,g,1,0.9899801202118397,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,neliefs,nw,h,lower,,,,,,,4,nw,LoDemTar,h,1,0.7573474254459143,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,mebase,nw,h,lower,,,,,,,4,nw,LoDemTar,h,1,0.7978581079514697,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,theery,nw,h,lower,,,,,,,4,nw,LoDemTar,h,1,1.2771975422510877,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,reddar,nw,h,lower,,,,,,,4,nw,LoDemTar,h,1,0.9131420006742701,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,populace,w,g,lower,,,,,,,4,w,LoDemTar,g,1,1.1478341717738658,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,20,0,20,0,,,,,,perishing,w,g,lower,,,,,,,4,w,LoDemTar,g,1,0.7962145716883242,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,21,0,21,0,,,,,,desert,w,g,lower,,,,,,,4,w,LoDemTar,g,1,0.7723671448184177,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,22,0,22,0,,,,,,elephant,target,q,lower,,,,,,,4,target,LoDemTar,g,0,0.6433626661309972,1,1,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,23,0,23,0,,,,,,renown,w,g,lower,,,,,,,4,aftertar1,LoDemTar,h,0,1.0646531184902415,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,24,0,24,0,,,,,,casino,w,g,lower,,,,,,,4,aftertar2,LoDemTar,g,1,0.9812969960039482,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
