demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,PM_accuracy,pressedQ,pressedQ_blank,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
21", female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,2023-11-13_16h11.46.432,leap3,2022.2.5,59.96984288418229,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,2023-11-13_16h11.46.432,leap3,2022.2.5,59.96984288418229,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,2023-11-13_16h11.46.432,leap3,2022.2.5,59.96984288418229,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,2023-11-13_16h11.46.432,leap3,2022.2.5,59.96984288418229,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,2023-11-13_16h11.46.432,leap3,2022.2.5,59.96984288418229,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,2023-11-13_16h11.46.432,leap3,2022.2.5,59.96984288418229,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,turative,nw,h,lower,h,1,1.0765305384993553,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,2023-11-13_16h11.46.432,leap3,2022.2.5,59.96984288418229,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,julled,nw,h,lower,h,1,0.7825533552095294,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,2023-11-13_16h11.46.432,leap3,2022.2.5,59.96984288418229,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,summary,w,g,lower,g,1,0.5339364055544138,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,2023-11-13_16h11.46.432,leap3,2022.2.5,59.96984288418229,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,lower,h,1,0.5894989697262645,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,2023-11-13_16h11.46.432,leap3,2022.2.5,59.96984288418229,
