demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,PM_accuracy,pressedQ_blank,pressedQ_late,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
18 ",female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,lurshing,nw,h,lower,h,1,1.3498921354330378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,infinity,w,g,lower,g,1,0.6292569800280035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,summary,w,g,lower,g,1,0.5631144277576823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,reputable,w,g,lower,g,1,0.5996435609267792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,overshoot,w,g,lower,g,1,0.6165795292181429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,busted,w,g,lower,g,1,0.6069390038828715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,latador,nw,h,lower,h,1,0.6610536892403616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,hiring,w,g,lower,g,1,0.5290870377721149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,treeps,nw,h,lower,h,1,0.730458649864886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,turative,nw,h,lower,h,1,0.8748048249617568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,raestro,nw,h,lower,h,1,0.5662002531171311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,julled,nw,h,lower,h,1,0.7418079551571282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,curlecs,nw,h,lower,h,1,0.6391580030031037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,unscrew,w,g,lower,g,1,0.49899337332317373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,grocus,nw,h,upper,h,1,0.7344020346499747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,umpire,w,g,upper,g,1,1.3829505828980473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,revival,w,g,upper,g,1,0.5814823783875909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,picture,w,g,upper,g,1,0.5007296217372641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,slumber,w,g,upper,g,1,0.6068264133646153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
,,,,,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,sponsor,w,g,upper,g,1,0.5167875047336565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2023-11-15_15h37.48.723,leap3,2022.2.5,59.99992755512373,
